Nate Washington,PIT,WR,23,16,2,0,0,0,0,0,3,8,2.67,0,69,35,624,17.83,4,0,0,4,0,0,87,122.2,125.2,104.7,0,48,0
Michael Jenkins,ATL,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,83,39,436,11.18,7,0,0,7,0,0,86,124.8,127.8,105.3,0,51,0
Jerious Norwood,ATL,RB,23,14,0,0,1,0,0,0,99,633,6.39,2,15,12,102,8.50,0,0,0,2,0,0,86,97.5,103.5,91.5,0,42,0
D.J. Hackett,SEA,WR,25,14,5,0,0,0,0,0,0,0,0,0,66,45,610,13.56,4,0,0,4,0,0,85,130.0,133.0,107.5,0,52,0
Vincent Jackson,SDG,WR,23,16,7,0,0,0,0,0,3,16,5.33,0,56,27,453,16.78,6,0,0,6,1,0,85,111.9,114.9,98.4,0,53,0
Travis Taylor,MIN,WR,27,16,16,0,0,0,0,0,1,5,5.00,0,87,57,651,11.42,3,2,0,3,0,0,84,138.6,142.6,110.1,0,54,0
Justin Fargas,OAK,RB,26,16,6,0,0,0,0,0,178,659,3.70,1,21,13,91,7.00,0,1,0,1,0,0,81,93.0,96.5,86.5,0,43,0
Greg Jennings,GNB,WR,23,14,11,0,0,0,0,0,0,0,0,0,104,45,632,14.04,3,1,0,3,0,0,81,125.2,128.7,102.7,0,55,0
Byron Leftwich,JAX,QB,26,6,6,108,183,1159,7,5,25,41,1.64,2,0,0,0,0,0,2,0,2,0,0,80,78.5,87.5,83.5,0,34,0
Correll Buckhalter,PHI,RB,28,16,1,0,0,0,0,0,83,345,4.16,2,28,24,256,10.67,1,2,0,3,0,0,78,100.1,107.1,88.1,0,44,0
Ronald Curry,OAK,WR,27,16,4,0,2,0,0,1,1,4,4.00,0,89,62,727,11.73,1,0,0,1,0,0,77,139.1,143.1,109.1,0,56,0
Patrick Crayton,DAL,WR,27,16,7,0,0,0,0,0,0,0,0,0,48,36,516,14.33,4,1,0,4,0,0,76,110.6,114.1,92.6,0,57,0
Kevan Barlow,NYJ,RB,27,12,3,0,0,0,0,0,131,370,2.82,6,10,7,21,3.00,0,1,0,6,0,0,75,81.1,84.6,77.6,0,45,0
